,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
450,712.6285941930495,amsterdam,Netherlands,2,4.0,10.0,97.0,3.4341942413510718,0.2901789858581217
454,1167.2486115342256,amsterdam,Netherlands,2,4.0,10.0,98.0,1.976076094847115,0.3541166133183717
455,860.2629297213696,amsterdam,Netherlands,2,4.0,10.0,95.0,1.0923607673057556,0.5645858864491468
457,1450.331591404401,amsterdam,Netherlands,2,5.0,10.0,100.0,0.5271932106561056,0.2236425474841289
465,718.9557800014061,amsterdam,Netherlands,1,2.0,9.0,97.0,3.910851974538859,0.9328881519374496
470,798.6314531436741,amsterdam,Netherlands,3,4.0,10.0,98.0,1.47417472781914,1.220433126369452
479,774.2600707707451,amsterdam,Netherlands,3,4.0,10.0,100.0,3.242923417708941,0.8299651281645313
483,798.6314531436741,amsterdam,Netherlands,4,4.0,9.0,98.0,3.644934918270801,1.691230146239749
484,743.5615025894595,amsterdam,Netherlands,1,2.0,10.0,98.0,1.5777312456317156,0.3174337692852088
487,878.7758067161907,amsterdam,Netherlands,1,4.0,9.0,88.0,0.1885288278893922,0.1807682543430058
489,614.4400440559605,amsterdam,Netherlands,1,2.0,10.0,99.0,3.8377111455988544,2.8134863633251825
492,764.4177817355237,amsterdam,Netherlands,2,4.0,10.0,94.0,1.2367465025820918,1.0518418774747902
494,1044.6886790242074,amsterdam,Netherlands,2,4.0,8.0,91.0,0.2877071439287178,0.0708805340183559
496,721.5335223677736,amsterdam,Netherlands,2,4.0,9.0,96.0,3.994828511071973,1.0167929637847486
498,762.0743795842806,amsterdam,Netherlands,1,2.0,10.0,90.0,0.756970102359457,0.921397238856894
500,890.9614979026552,amsterdam,Netherlands,2,4.0,10.0,98.0,3.963243943737326,0.8068746127730139
502,1429.2409720432124,amsterdam,Netherlands,2,3.0,10.0,98.0,0.691933325614957,0.8081288836765702
509,921.6600660839408,amsterdam,Netherlands,2,4.0,10.0,95.0,1.6015873642380736,1.5008579628497989
511,734.8909146298597,amsterdam,Netherlands,1,2.0,9.0,97.0,0.5545413209293035,0.3462387608679918
520,700.442903006585,amsterdam,Netherlands,2,4.0,10.0,96.0,1.9940523834752912,0.2005759773314424
523,1032.502987837743,amsterdam,Netherlands,1,2.0,9.0,98.0,1.1617217829190112,1.1559535414523046
528,1002.9761207320788,amsterdam,Netherlands,1,5.0,10.0,97.0,1.5112863647308643,1.267770006365097
531,970.8715112600474,amsterdam,Netherlands,1,2.0,10.0,98.0,0.7816646297545559,0.7301650831663089
534,909.4743748974762,amsterdam,Netherlands,2,4.0,9.0,97.0,3.12479210393515,0.5491544392071435
535,657.3243034237106,amsterdam,Netherlands,2,4.0,10.0,100.0,3.5692106976545204,0.6984649219093739
541,613.0340027652146,amsterdam,Netherlands,3,4.0,10.0,91.0,3.38818760577173,2.1115455002657875
545,774.7287512009937,amsterdam,Netherlands,2,4.0,9.0,89.0,0.6188752838771392,0.2924994583056112
548,1259.578656293207,amsterdam,Netherlands,1,2.0,8.0,81.0,1.8439233325897628,0.3506878607343284
550,1166.3112506737282,amsterdam,Netherlands,2,4.0,10.0,99.0,2.6026624232858904,1.236035020445942
551,632.9529210507816,amsterdam,Netherlands,2,4.0,9.0,80.0,0.44043270378182,0.4568479340846588
552,1072.8095048391256,amsterdam,Netherlands,2,4.0,9.0,88.0,1.927053639386917,0.2629848020509173
562,1296.604410282849,amsterdam,Netherlands,3,4.0,10.0,98.0,2.1817361903320878,0.4671099382495319
563,907.130972746233,amsterdam,Netherlands,2,4.0,10.0,100.0,2.3361408437968723,0.6187855312563412
566,814.800927987252,amsterdam,Netherlands,1,2.0,10.0,99.0,0.992702453740026,1.0846547847896026
